Round,Loss,Accuracy,F1_score,Kappa,ROC_auc
1, 2.3805570952808512,  0.1131,  0.0378019177324916,  0.014555555555555322,  0.6482181222222223
2, 2.3760999521127526,  0.1551,  0.08858137359049353,  0.06122222222222218,  0.7039538
3, 2.2955497343319293,  0.2072,  0.13341646050458972,  0.11911111111111095,  0.7373837555555556
4, 2.2162827173361,  0.2162,  0.14044953655906883,  0.12911111111111095,  0.7622815777777778
5, 2.1316032257323827,  0.2545,  0.17705932612479483,  0.17166666666666686,  0.7852101444444444
6, 2.081535969298488,  0.2799,  0.2106482497731709,  0.1998888888888889,  0.799902711111111
7, 2.0461352751277886,  0.2914,  0.22499063924704413,  0.21266666666666678,  0.8105962166666666
8, 2.013153624229919,  0.3032,  0.2447569039259787,  0.22577777777777763,  0.8187218111111111
9, 1.9938290705696082,  0.317,  0.26590038561821994,  0.24111111111111116,  0.8249124666666667
10, 1.9538839651753728,  0.3239,  0.2682997334473022,  0.24877777777777765,  0.8318750166666667
11, 1.9428587131226025,  0.3242,  0.2776043281438893,  0.24911111111111106,  0.8356914111111111
12, 1.9259997050221356,  0.3345,  0.2831809611180047,  0.26055555555555554,  0.8417378777777778
13, 1.8841882906021021,  0.3458,  0.29845832716302423,  0.2731111111111113,  0.8463052444444445
14, 1.89569647852986,  0.3439,  0.29462400405055506,  0.2709999999999999,  0.8476849333333334
15, 1.8583185261430832,  0.3626,  0.3197069968853584,  0.2917777777777779,  0.85276355
16, 1.8875206659396235,  0.3502,  0.30371886124855274,  0.27800000000000014,  0.8539044277777779
17, 1.8423912845099697,  0.3579,  0.300281460626948,  0.2865555555555559,  0.8583388833333334
18, 1.8053669541026838,  0.3709,  0.3183242723942702,  0.30100000000000005,  0.8616221944444445
19, 1.8126731189295127,  0.375,  0.32270491940042195,  0.30555555555555547,  0.863248511111111
20, 1.8258219401295575,  0.3714,  0.3197657364387817,  0.30155555555555547,  0.864145811111111
21, 1.7770624076977324,  0.3792,  0.32934892743375677,  0.3102222222222222,  0.8677525944444445
22, 1.7573740128130197,  0.3904,  0.34576585724752473,  0.322666666666667,  0.8699723833333334
23, 1.750098504959204,  0.3968,  0.35377158986447005,  0.32977777777777795,  0.87112745
24, 1.7469302731961869,  0.3962,  0.35094638387233007,  0.32911111111111124,  0.8720118444444445
25, 1.8034223123861197,  0.3882,  0.34374714626177055,  0.3202222222222221,  0.8719527222222222
26, 1.7469237753377556,  0.3992,  0.3508398834430813,  0.33244444444444443,  0.87549595
27, 1.7377754522207827,  0.4083,  0.36356714591300443,  0.3425555555555555,  0.8777625722222222
28, 1.7319745427122513,  0.4093,  0.35860812569427186,  0.3436666666666668,  0.8791431555555554
29, 1.708993444808375,  0.4151,  0.37417345341882846,  0.35011111111111126,  0.8804581
30, 1.726109435002263,  0.4151,  0.371403131941578,  0.35011111111111126,  0.8815486
31, 1.7267877899419766,  0.4046,  0.36060366762376306,  0.33844444444444444,  0.881900488888889
32, 1.6999958327022224,  0.4181,  0.37522001016746465,  0.35344444444444445,  0.885090111111111
33, 1.6871169417049177,  0.427,  0.3842184504073717,  0.3633333333333333,  0.8871286444444444
34, 1.7075187057351913,  0.4232,  0.37586752654959715,  0.35911111111111127,  0.8856190888888887
35, 1.6503339832583175,  0.4339,  0.3907438072849217,  0.3709999999999999,  0.8893802777777777
36, 1.6957619403497861,  0.4269,  0.38372232506045706,  0.3632222222222221,  0.8891338944444446
37, 1.6960275782563816,  0.4262,  0.38606062356953563,  0.36244444444444446,  0.8893519777777777
38, 1.6403855163449297,  0.4458,  0.40330340507337564,  0.38422222222222224,  0.8925921333333333
39, 1.6692908351032878,  0.4345,  0.3961002163229165,  0.3716666666666666,  0.8920499111111111
40, 1.6625786221827181,  0.444,  0.40241727195658716,  0.38222222222222213,  0.8922123111111111
41, 1.6358841105391042,  0.4482,  0.40715626378181885,  0.38688888888888906,  0.8950554000000001
42, 1.6056886399135042,  0.4512,  0.40986999770711224,  0.39022222222222225,  0.8965411333333334
43, 1.6461919447103628,  0.4492,  0.40539261770211993,  0.3880000000000001,  0.8967689777777779
44, 1.559550142326294,  0.4679,  0.43174080033283646,  0.4087777777777779,  0.8988569388888887
45, 1.6296114285533039,  0.4499,  0.4102578522314568,  0.3887777777777779,  0.8973293944444445
46, 1.6411430786212031,  0.4427,  0.405091155663641,  0.3807777777777779,  0.8984193000000001
47, 1.6136586620403937,  0.4572,  0.42110061054406855,  0.39688888888888874,  0.9002023555555555
48, 1.6094175533364756,  0.4562,  0.4240561491025117,  0.39577777777777756,  0.8998394000000001
49, 1.5958761946080973,  0.4615,  0.42373971842091296,  0.40166666666666695,  0.9017009
50, 1.5714190360456228,  0.4659,  0.4206381545088885,  0.4065555555555558,  0.9032743611111111
